时间戳,相对时间(秒),StereoMap 4.exe (PID:32484),StereoMap 4.exe (PID:26120),StereoMap 4.exe (PID:14284),StereoVisual.exe (PID:27372),StereoMap 4.exe (PID:28304),StereoMap 4.exe (PID:25468)
1749608695.9629917,16.213789463043213,820.7265625,10.8046875,51.2109375,51.74609375,63.22265625,577.67578125
1749608696.506036,16.756833791732788,820.546875,10.8046875,51.2109375,51.74609375,63.22265625,576.8203125
1749608697.0490313,17.29982900619507,820.546875,10.8046875,51.2109375,51.74609375,63.22265625,576.8203125
1749608697.6560442,17.90684199333191,819.84375,10.8046875,51.2109375,51.74609375,63.22265625,576.24609375
1749608698.1693377,18.420135498046875,819.84375,10.8046875,51.2109375,51.74609375,63.22265625,576.24609375
1749608698.6873538,18.938151597976685,820.10546875,10.8046875,51.21484375,51.74609375,63.22265625,576.24609375
1749608699.2050014,19.455799102783203,820.10546875,10.8046875,51.21484375,51.74609375,63.22265625,576.24609375
1749608699.7227402,19.973537921905518,820.10546875,10.8046875,51.21484375,51.74609375,63.22265625,575.7890625
1749608700.2360144,20.486812114715576,820.10546875,10.8046875,51.21484375,51.74609375,63.22265625,575.7890625
1749608700.7488241,20.999621868133545,820.10546875,10.8046875,51.21484375,51.74609375,63.22265625,575.7890625
1749608701.2681313,21.51892900466919,819.9140625,10.8046875,51.21484375,51.74609375,63.22265625,575.7890625
1749608701.7851865,22.03598427772522,819.9140625,10.8046875,51.21484375,51.74609375,63.22265625,575.7890625
1749608702.3014386,22.552236318588257,819.9140625,10.8046875,51.21484375,51.74609375,63.22265625,575.7890625
1749608702.816523,23.067320823669434,819.9140625,10.8046875,51.21484375,51.74609375,63.22265625,575.7890625
1749608703.325633,23.576430797576904,819.9140625,10.8046875,51.21484375,51.74609375,63.22265625,575.7890625
1749608703.8432496,24.09404730796814,819.9140625,10.8046875,51.21484375,51.74609375,63.22265625,563.0078125
1749608704.3599072,24.61070489883423,819.9140625,10.8046875,51.21484375,51.74609375,63.22265625,563.0078125
1749608704.875587,25.126384735107422,819.9140625,10.8046875,51.21484375,51.74609375,63.22265625,563.0078125
1749608705.3949409,25.64573860168457,819.84765625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608705.9143355,26.165133237838745,819.84765625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608706.432465,26.683262825012207,819.84765625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608706.9476025,27.198400259017944,819.84765625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608707.455619,27.706416845321655,819.84765625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608707.9717252,28.222522974014282,819.84765625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608708.4827738,28.733571529388428,819.84765625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608709.0211742,29.271971940994263,819.84765625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608709.553441,29.80423879623413,819.84765625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608710.0738463,30.324644088745117,819.84765625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608710.5979156,30.848713397979736,819.84765625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608711.1168957,31.367693424224854,819.84765625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608711.637718,31.88851571083069,819.84765625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608712.1525116,32.40330934524536,819.84765625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608712.6693957,32.9201934337616,819.84765625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608713.1906164,33.44141411781311,819.84765625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608713.702093,33.95289063453674,819.84765625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608714.2207305,34.47152829170227,819.84765625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608714.7393372,34.990134954452515,819.84765625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608715.2516215,35.502419233322144,819.84765625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608715.7716644,36.022462129592896,819.84765625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608716.2929487,36.54374647140503,819.84765625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608716.8111782,37.061975955963135,819.84765625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608717.327854,37.578651666641235,819.8515625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608717.8447711,38.095568895339966,819.8515625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608718.3639202,38.614717960357666,818.97265625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608718.8844945,39.135292291641235,818.97265625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608719.40479,39.655587673187256,818.97265625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608719.9267416,40.177539348602295,818.97265625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608720.4368694,40.68766713142395,818.97265625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608720.9564462,41.20724391937256,818.97265625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608721.478236,41.72903370857239,818.97265625,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608721.9924505,42.24324822425842,818.33984375,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608722.5094168,42.76021456718445,818.34375,10.8046875,51.21484375,51.74609375,63.22265625,563.0234375
1749608723.0315824,43.28238010406494,818.34375,10.8046875,51.3984375,51.74609375,63.22265625,563.0234375
1749608723.6557505,43.906548261642456,818.34375,10.8046875,51.40234375,51.74609375,63.22265625,563.0234375
1749608724.168119,44.41891670227051,818.34375,10.8046875,51.40234375,51.74609375,63.22265625,563.0234375
1749608724.6885986,44.939396381378174,818.34375,10.8046875,51.40234375,51.74609375,63.22265625,563.0234375
1749608725.2085931,45.45939087867737,818.34375,10.8046875,51.40234375,51.74609375,63.22265625,563.0234375
1749608725.7213452,45.972142934799194,818.34375,10.8046875,51.40234375,51.74609375,63.22265625,563.0234375
