时间戳,相对时间(秒),StereoMap 4.exe (PID:26120),StereoMap 4.exe (PID:14284),StereoVisual.exe (PID:27372),StereoMap 4.exe (PID:28304),StereoMap 4.exe (PID:26328),StereoMap 4.exe (PID:25468)
1749608022.0187776,10.808252334594727,18.578125,48.265625,73.55859375,50.9765625,455.37109375,398.91015625
1749608022.6080756,11.397550344467163,16.765625,48.265625,85.46484375,50.9765625,439.515625,411.25
1749608023.165713,11.955187797546387,20.55078125,47.8671875,78.36328125,50.9765625,511.6328125,422.10546875
1749608023.7299798,12.51945447921753,14.4609375,47.75,64.62890625,50.9765625,594.921875,446.43359375
1749608024.298316,13.087790727615356,14.875,47.75,63.296875,50.9765625,589.20703125,456.3125
1749608024.8929543,13.682429075241089,16.6171875,47.67578125,81.1640625,50.9765625,647.61328125,474.4609375
1749608025.473541,14.263015747070312,28.53125,47.67578125,84.83203125,50.9765625,656.86328125,492.2890625
1749608026.0336215,14.82309627532959,9.76953125,47.48828125,50.09375,50.9765625,768.34765625,501.06640625
1749608026.5824218,15.371896505355835,9.76953125,47.4921875,50.09375,50.9765625,747.08984375,511.21875
1749608027.1511655,15.940640211105347,9.76953125,47.4921875,50.09375,50.9765625,783.21484375,524.6875
1749608027.728993,16.518467664718628,9.76953125,47.4921875,50.09375,50.9765625,810.49609375,547.76953125
1749608028.2626967,17.05217146873474,9.76953125,47.4921875,50.09375,50.9765625,846.93359375,569.16015625
1749608028.8454514,17.634926080703735,9.76953125,47.53125,50.09375,50.9765625,792.29296875,579.14453125
1749608029.5119345,18.301409244537354,9.76953125,47.48828125,50.09375,50.9921875,792.82421875,577.14453125
1749608030.053814,18.84328866004944,9.76953125,47.48828125,50.09375,50.9921875,790.3125,577.15234375
1749608030.5920498,19.381524562835693,9.76953125,47.48828125,50.09375,50.9921875,789.94140625,574.03125
1749608031.1193855,19.908860206604004,9.76953125,47.484375,50.09375,50.9921875,789.74609375,573.2734375
1749608031.645371,20.434845685958862,9.76953125,47.4921875,50.09375,50.9921875,789.6875,573.2109375
1749608032.1555438,20.945018529891968,9.76953125,47.4921875,50.09375,50.9921875,789.6875,572.796875
1749608032.6697996,21.459274291992188,9.76953125,47.4921875,50.09375,50.9921875,789.75390625,572.7109375
1749608033.184466,21.97394061088562,9.76953125,47.4921875,50.09375,50.9921875,788.90625,572.70703125
1749608033.6942334,22.483708143234253,9.7734375,47.4921875,50.09375,50.9921875,788.90625,572.70703125
1749608034.21302,23.00249481201172,9.7734375,47.4921875,50.09375,50.9921875,788.90625,572.70703125
1749608034.7369137,23.52638840675354,9.7734375,47.4921875,50.09375,50.9921875,788.90625,572.70703125
1749608035.260441,24.04991579055786,9.7734375,47.4765625,50.09375,50.9921875,788.90625,572.47265625
1749608035.7779262,24.56740093231201,9.7734375,47.5390625,50.09375,50.9921875,788.90625,567.73046875
1749608036.2955418,25.08501648902893,9.7734375,47.5390625,50.09375,50.9921875,788.91015625,567.73046875
1749608036.8117728,25.601247549057007,9.7734375,47.5390625,50.09375,50.9921875,789.0390625,567.73046875
1749608037.3268228,26.116297483444214,9.7734375,47.5390625,50.09375,50.9921875,789.0234375,567.73046875
1749608037.8456864,26.63516116142273,9.7734375,47.5390625,50.09375,50.9921875,789.046875,567.73046875
1749608038.358701,27.148175716400146,9.7734375,47.546875,50.09375,50.9921875,789.046875,567.73046875
1749608038.8783453,27.66781997680664,9.7734375,47.5546875,50.09375,50.9921875,789.046875,567.73046875
1749608039.3962078,28.18568253517151,9.7734375,47.578125,50.09375,50.9921875,789.046875,567.80859375
1749608039.9056778,28.695152521133423,9.7734375,47.578125,50.09375,50.9921875,789.05078125,555.33984375
1749608040.425002,29.214476823806763,9.7734375,47.578125,50.09375,50.9921875,789.05078125,555.33984375
1749608040.9450333,29.73450803756714,9.7734375,47.578125,50.09375,50.9921875,789.05078125,555.33984375
1749608041.460001,30.249475717544556,9.7734375,47.578125,50.09375,50.9921875,788.6953125,555.33984375
1749608041.9734573,30.762932062149048,9.7734375,47.578125,50.09375,50.9921875,788.69921875,555.33984375
1749608042.489809,31.27928376197815,9.7734375,47.5859375,50.09375,50.9921875,788.69921875,555.33984375
